Set,Larva,Segment,NMJ,Boutons
lac,7,3R,4,3
Control,6,5R,5,14
Control,3,4L,6,14
lac,4,4R,7,14
lac,2,2R,11,2
Control,1,2L,12,27
lac,4,5L,14,18
Control,1,2R,15,16
lac,7,4L,18,9
lac,2,3L,20,2
Control,3,4R,21,13
Control,7,2L,23,33
lac,2,3R,26,10
lac,4,5R,29,3
Control,7,2R,30,13
lac,7,4R,32,5
Control,1,3L,33,10
Control,3,5L,35,3
lac,5,2L,37,5
Control,1,3R,40,10
Control,7,3L,42,11
lac,2,4L,45,2
lac,7,5L,46,24
Control,4,2L,48,17
Control,4,3R,50,8
lac,5,3R,51,8
lac,2,5R,52,6
Control,7,3R,54,11
Control,1,4L,58,12
Control,4,4L,67,9
lac,5,4L,68,3
Control,7,4L,70,13
Control,1,4R,71,12
lac,3,2L,72,19
Control,1,5L,73,4
Control,7,4R,76,5
lac,3,2R,79,10
lac,5,5L,80,7
Control,4,4R,84,12
lac,3,3L,86,21
Control,7,5L,90,10
Control,4,5L,92,2
Control,1,5R,94,13
lac,6,2L,96,5
Control,2,2L,97,8
lac,6,2R,99,11
Control,7,5R,104,11
Control,4,5R,105,14
lac,3,3R,107,6
Control,5,2L,110,2
lac,6,3L,111,4
lac,1,2R,113,7
lac,3,4L,115,15
Control,2,3R,118,5
Control,5,3L,122,1
Control,2,4R,123,12
lac,3,4R,125,20
lac,6,3R,131,10
lac,1,3L,132,1
Control,5,4L,133,1
lac,6,4L,136,2
lac,3,5L,137,2
lac,1,3R,143,1
Control,2,5L,144,17
lac,1,4L,145,2
lac,3,5R,147,2
lac,6,4R,148,4
Control,5,5L,151,3
Control,2,5R,154,28
lac,4,2R,158,11
Control,3,2L,160,7
lac,6,5L,161,6
lac,1,4R,166,6
Control,6,2R,168,26
lac,1,5L,169,9
lac,6,5R,171,3
Control,6,4L,174,13
lac,4,3L,178,6
Control,3,2R,180,0
lac,7,2L,183,9
lac,4,3R,184,24
Control,6,4R,188,13
lac,1,5R,191,8
Control,3,3L,192,13
lac,2,2L,193,5
Control,6,5L,195,7
lac,4,4L,196,13
Control,3,3R,199,19
lac,7,3L,200,5
