type,condition,statistic,p,n1,n2,mean,control_mean,foldchange
DC,46F>Lac RNAi,896,0.676,44,43,307.52915172275914,298.73137694832894,1.029450454332261
index_straightness,46F>Lac RNAi,1117,0.148,44,43,0.5503764496164044,0.6358042270316279,0.8656382361374677
mean_speed_real_units,46F>Lac RNAi,1120,0.141,44,43,1.0045072132552535,1.0653960847682715,0.94284860590016
SDDC,46F>Lac RNAi,874,0.546,44,43,513.2434987495235,497.8419204303225,1.0309366842910461
DC,Mdr65>Lac RNAi,262,1.78e-7,37,41,341.5972060395896,266.88479759396273,1.2799425411982213
index_straightness,Mdr65>Lac RNAi,978,0.0279,37,41,0.4988001480351722,0.6004047733416779,0.830773122037315
mean_speed_real_units,Mdr65>Lac RNAi,1239,4.88e-7,37,41,0.9242607340392036,1.2065281709623212,0.7660498580004291
SDDC,Mdr65>Lac RNAi,373,7.74e-5,37,41,522.7881290862581,461.3337718007639,1.133210185427384
DC,Nrv2>Lac RNAi,488,3.56e-4,44,40,440.13756188690417,352.4751504353791,1.2487052245902839
index_straightness,Nrv2>Lac RNAi,1086,0.0655,44,40,0.5484352120014435,0.6411910500189725,0.8553382209330832
mean_speed_real_units,Nrv2>Lac RNAi,1027,0.191,44,40,1.399091369899085,1.5048634548139133,0.9297131679445909
SDDC,Nrv2>Lac RNAi,523,0.00121,44,40,677.6619883999144,612.9506423815747,1.105573502243033
DC,Repo>Lac RNAi,1283,7.6e-33,132,131,603.9336929831408,358.01412117567946,1.6868990837564959
index_straightness,Repo>Lac RNAi,16376,4.9900000000000003e-36,132,131,0.151100800941699,0.6046149249858717,0.2499124561723809
mean_speed_real_units,Repo>Lac RNAi,13940,9.29e-18,132,131,0.6834299400285566,1.0823109083573021,0.6314543582174972
SDDC,Repo>Lac RNAi,4143,2.88e-13,132,131,693.0980538438962,582.2774864496992,1.1903226038669288
DC,OK6 > Lac RNAi,537,0.00181,42,42,580.4307999591505,493.4186947313814,1.1763453759593336
index_straightness,OK6 > Lac RNAi,1119,0.0339,42,42,0.35973111024849386,0.4520257270602635,0.7958199914593245
mean_speed_real_units,OK6 > Lac RNAi,1154,0.0146,42,42,1.3294444357948214,1.4862629516449475,0.8944880408432677
SDDC,OK6 > Lac RNAi,731,0.179,42,42,745.5846644459249,718.3289230413867,1.0379432604344234
